IATA,ICAO,Name,Country,Active
,ATV,Avanti Air,Germany,N
,ATW,Aero Trades (Western) Ltd.,Canada,N
OS,AUA,Austrian Airlines,Austria,Y
,WOW,Air Southwest,United Kingdom,Y
IQ,AUB,Augsburg Airways,Germany,Y
,CPV,Air Corporate,Italy,N
,TUP,Aviastar-Tu,Russia,N
RU,ABW,AirBridge Cargo,Russia,N
,TUR,ATUR,Ecuador,Y
,TXU,ATESA Aerotaxis Ecuatorianos,Ecuador,N
,TXX,Austin Express,United States,N
,AUD,Audi Air,AUDI AIR,N
,AUF,Augusta Air Luftfahrtunternehmen,Germany,N
MO,AUH,Abu Dhabi Amiri Flight,United Arab Emirates,Y
5N,AUL,Aeroflot-Nord,Russia,Y
,AUM,Air Atlantic Uruguay,Uruguay,N
,AUN,Aviones Unidos,Mexico,N
,AUP,Avia Business Group,Russia,N
,SVE,Aero Servicios Expecializados,Mexico,N
GR,AUR,Aurigny Air Services,United Kingdom,Y
NO,AUS,Aus-Air,Australia,N
AU,AUT,Austral Lineas Aereas,Argentina,Y
,AUU,Aurora Aviation,AURORA AIR,N
,AUX,Air Uganda International Ltd.,Uganda,N
,AUY,Aerolineas Uruguayas,AUSA,N
AO,AUZ,Australian Airlines,Australia,N
AV,AVA,Avianca - Aerovias Nacionales de Colombia,AVIANCA,Y
,AVB,Aviation Beaufort,United Kingdom,N
,AVD,Alamo Aviacion,ALAMO,N
,AVF,Aviair Aviation Ltd.,Canada,N
,AVG,Air Falcon,Djibouti,N
,AVH,AV8 Helicopters,United Kingdom,N
,AVJ,Avia Traffic Company,Kyrgyzstan,N
,AVK,AV8 Helicopters,South Africa,N
,AVM,Aviacion Ejecutiva Mexicana,AVEMEX,N
NF,AVN,Air Vanuatu,Vanuatu,Y
,AVO,Aviation at Work,South Africa,N
,AVP,Avcorp Registrations,United Kingdom,N
,LFP,Alfa Aerospace,Australia,N
,LFR,Atlantic Airfreight Aviation,Sao Tome and Principe,N
,LFT,Aerolift Company,Sierra Leone,N
,AVQ,Aviation Services,AQUILINE,N
